Trainer,Alder,Benga,Bianca,Blaine,Blue,Brawly,Brock,Brycen,Bugsy,Burgh,Byron,Caitlin,Candice,Cheren,Cheren_Fire,Cheren_Grass,Cheren_Water,Chili,Chuck,Cilan,Clair,Clay,Colress,Cress,Cynthia,Drayden,Elesa,Erika,Falkner,Fantina,Flannery,Gardenia,Giovanni,Grimsley,Hugh_Fire,Hugh_Grass,Hugh_Water,Iris,Janine,Jasmine,Juan,Lance,Lenora,Liza,Lt.Surge,Marlon,Marshal,Maylene,Misty,Morimoto,Morty,N_Autumn,N_Spring,N_Summer,N_Winter,Nishino,Norman,Pryce,Red,Roark,Roxanne,Roxie,Sabrina,Shauntal,Skyla,Steven,Tate,Volkner,Wake,Wallace,Wattson,Whitney,Winona
Nishino,36,88,53,11,35,9,98,98,30,31,89,3,46,55,87,87,83,58,30,87,47,67,90,68,55,85,14,24,64,98,61,19,30,38,60,74,45,71,12,42,70,82,62,90,65,90,2,33,42,94,59,54,50,89,93,0,16,81,33,90,86,24,60,29,86,94,72,58,53,51,50,82,87
Norman,35,46,50,50,35,16,71,87,62,28,65,57,43,84,82,78,83,23,52,97,56,8,98,34,68,21,50,37,97,73,19,70,10,51,58,67,75,46,86,27,94,21,59,99,93,64,24,43,74,100,18,26,35,91,71,84,0,77,29,84,77,45,68,5,29,85,60,95,55,71,69,88,90
Pryce,3,66,61,23,30,9,42,81,9,30,39,32,60,8,35,46,69,66,31,100,97,30,69,10,45,81,44,58,50,77,36,77,21,12,26,49,50,56,46,15,51,60,16,53,46,34,14,50,45,81,2,17,23,58,48,19,23,0,34,61,46,80,19,0,33,21,48,92,62,40,35,7,98
Red,27,74,70,56,73,66,71,73,47,19,79,60,25,59,45,74,89,80,55,100,90,70,89,84,40,95,32,72,62,70,54,83,52,40,49,58,70,69,13,31,89,56,87,86,69,71,44,73,32,97,34,49,67,84,44,67,71,66,0,97,92,36,45,8,56,71,87,89,90,69,82,53,88
Roark,11,32,14,40,7,2,19,42,52,18,56,16,43,7,27,15,9,89,3,7,8,1,44,1,18,20,15,1,42,26,39,3,14,22,15,18,9,37,5,6,6,1,8,13,12,11,2,4,0,44,0,7,0,14,48,10,16,39,3,0,61,21,1,1,12,43,22,56,1,0,32,41,17
Roxanne,4,42,3,19,6,5,52,77,30,21,30,7,48,22,26,15,32,71,1,6,7,4,57,49,6,6,33,1,17,63,46,1,8,13,15,14,11,3,1,7,67,7,15,21,39,97,2,11,12,74,5,47,97,9,51,14,23,54,8,39,0,3,4,0,12,15,22,93,80,93,26,27,33
Roxie,20,8,49,43,41,38,41,85,52,47,58,98,21,63,83,95,96,95,54,98,7,6,80,81,35,16,48,93,63,92,8,89,1,28,8,22,39,30,8,12,65,3,91,49,74,65,27,83,25,96,65,42,44,60,5,76,55,20,64,79,97,0,52,10,46,45,89,79,71,28,49,61,73
Sabrina,23,48,34,92,96,62,28,67,40,4,85,100,33,16,83,87,85,77,100,100,86,52,88,47,38,83,30,91,48,52,69,81,79,8,27,58,32,71,35,100,90,38,32,87,36,84,100,100,44,80,16,66,88,67,63,40,32,81,55,99,96,48,0,5,33,96,97,69,94,72,32,25,99
Shauntal,54,89,99,96,99,95,60,97,100,96,100,100,98,74,99,100,100,100,100,100,93,74,100,100,98,96,100,99,82,92,95,94,68,26,95,98,91,99,65,95,99,67,95,100,100,100,100,100,73,99,97,70,99,97,97,71,95,100,92,99,100,90,95,0,97,100,100,99,100,81,90,94,100
Skyla,54,29,96,47,70,72,84,74,90,91,65,95,43,16,56,65,55,100,99,99,61,88,97,98,68,99,39,57,79,91,69,96,66,67,62,79,73,82,15,33,58,54,27,100,70,95,100,80,7,83,47,13,14,75,64,14,71,67,44,88,88,54,67,3,0,99,100,66,85,38,28,50,99
Steven,22,32,31,41,15,16,48,80,80,43,68,39,25,35,42,52,27,83,65,47,16,19,78,25,10,10,0,21,24,36,28,15,27,36,3,6,7,26,10,8,38,1,29,48,20,65,36,9,9,89,0,43,83,62,79,6,15,79,29,57,85,55,4,0,1,0,61,64,45,59,27,87,13
Tate,5,1,4,61,3,4,4,44,3,0,77,93,13,28,22,23,6,33,99,64,31,6,85,0,26,8,3,19,9,21,28,13,2,1,5,10,3,15,37,42,28,0,35,55,38,20,93,87,9,21,7,0,13,11,7,28,40,52,13,78,78,11,3,0,0,39,0,54,49,0,66,89,71
Volkner,9,36,87,2,37,66,0,37,59,8,31,84,0,72,60,65,61,56,69,100,10,20,81,8,19,14,12,9,38,35,17,46,0,14,9,26,13,29,3,3,20,10,94,47,18,17,47,100,0,91,30,0,2,45,0,42,5,8,11,44,7,21,31,1,34,36,46,0,15,8,67,31,80
Wake,6,7,44,31,52,5,96,44,1,2,99,6,17,18,79,76,80,86,22,14,81,66,23,75,12,82,78,3,26,65,10,5,68,32,39,26,56,70,0,41,45,75,31,53,51,55,3,7,18,75,0,50,83,20,15,47,45,38,10,99,20,29,6,0,15,55,51,85,0,46,3,78,62
Wallace,28,90,87,78,98,62,92,94,26,30,96,92,94,46,88,95,85,100,90,53,88,80,88,81,32,98,55,20,94,80,94,35,87,66,73,82,68,55,20,62,63,75,45,85,49,77,91,99,11,97,29,32,75,76,80,49,29,60,31,100,7,72,28,19,62,41,100,92,54,0,12,22,92
Wattson,38,69,62,25,73,61,28,91,35,84,59,65,19,89,76,77,89,89,20,100,91,31,77,82,67,44,24,56,37,87,46,61,0,22,47,65,65,33,13,8,93,14,97,56,18,62,2,99,50,100,47,16,52,98,54,50,31,65,18,68,74,51,68,10,72,73,34,33,97,88,0,61,92
Whitney,9,94,41,34,4,0,54,64,38,20,72,7,68,52,37,84,79,18,0,93,74,6,100,18,26,42,17,27,66,93,35,29,0,26,21,92,80,71,16,20,84,25,22,97,65,87,0,0,69,98,47,10,17,93,98,18,12,93,47,59,73,39,75,6,50,13,11,69,22,78,39,0,96
Winona,12,0,33,23,31,52,9,13,72,69,67,19,14,0,22,68,37,98,75,99,71,56,63,54,13,59,3,39,14,27,68,83,36,2,8,20,17,14,16,49,55,54,0,17,3,25,95,73,9,65,1,44,6,65,11,13,10,2,12,83,67,27,1,0,1,87,29,20,38,8,8,4,0
